[Header]
TITLE,NdTiGaO_multifield_He3Base._50K.dat
BYAPP,HeatCapacity,3.9.3,1.7
INFO,6.856,MASS:Sample Mass (mg)
INFO,0.005,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.3 Build 101,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3762071346.49882,CALFILE: He3Puck895.cal - Addenda #1 measured on 3/15/2019 from 0.34839 to 50.713 K
3762071346.49944,,1857,50.025,50.025,-0.178470730781555,9.89999989542412E-6,50.618027,1.001998,602.2885,3.068,428.44369,0.4119,1030.7322,3.068,0.0886739,83.693563,0.32829877,98.393117,0,0,1,,,,1.2384E-5,145.7648,2562.1846,11.898696,0
3762071964.73709,,1857,50.0895,50.0895,-0.19036877155304,9.89999989542412E-6,50.779201,1.0656497,599.5658,1.031,430.80781,0.4164,1030.3736,1.031,0.19887002,77.608971,0.070267991,99.628298,0,0,1,,,,1.3293E-5,167.3871,2578.5273,11.807311,0
3762072700.98295,,1857,50.0163,50.0163,-0.16657267510891,9.89999989542412E-6,50.701859,0.99444047,594.64524,1.483,429.65028,0.4142,1024.2955,1.424,0.085986853,74.655868,0,100,0,0,1,,,,1.372E-5,155.2179,2570.6785,11.728273,0
3762077298.88312,,1857,44.7789,44.7789,0.0713882893323898,9.89999989542412E-6,45.38222,0.95134481,513.73325,0.8337,346.38513,0.2879,860.11838,0.8337,2.9898217,70.650316,0.11875846,99.302559,0,0,1,,,,1.2205E-5,149.3117,2059.5459,11.320144,0
3762077823.11257,,1857,44.9022,44.9022,0.107082441449165,9.89999989542412E-6,45.46559,0.92863385,516.14789,2.213,347.74173,0.2894,863.88961,2.213,0.10706173,74.027424,0.24374182,98.636202,0,0,1,,,,1.1728E-5,141.3006,2067.1199,11.352495,0
3762078370.75056,,1857,44.9687,44.9687,0.0475921928882599,9.89999989542412E-6,45.579381,0.94715896,514.17405,1.02,349.26755,0.2911,863.4416,1.02,0.16591514,70.593558,0.097036465,99.430293,0,0,1,,,,1.2256E-5,148.0548,2077.48,11.280848,0
3762082366.42711,,1857,40.1975,40.1975,0.0356941446661949,9.89999989542412E-6,40.755001,0.87738016,435.66881,0.8317,282.71659,0.2327,718.3854,0.8317,0.68061663,63.531439,0.10459815,99.311415,0,0,1,,,,1.1336E-5,141.1871,1660.9701,10.689947,0
3762082837.91799,,1857,40.3443,40.3443,0,9.89999989542412E-6,40.84311,0.83711174,437.16671,2.408,284.01843,0.2337,721.18514,2.408,0.090437838,68.012181,0.27004011,98.343969,0,0,1,,,,1.067E-5,127.0629,1668.1596,10.703561,0
3762083340.82938,,1857,40.4114,40.4114,0.0594902411103249,9.89999989542412E-6,40.976038,0.86089579,434.18801,0.9156,285.57531,0.2349,719.76333,0.9156,0.11697338,63.152809,0.070074284,99.536978,0,0,1,,,,1.1416E-5,136.0244,1679.0357,10.596144,0
